scenario,budget,method,arm,stratum,units,mean_inclusion_probability,rho
visible_control,40,robust_path,0,0,1800,0.008600495867628215,0.7630214704044509
visible_control,40,robust_path,0,1,200,0.012407548907831707,0.7630214704044509
visible_control,40,robust_path,1,0,1800,0.010855283892000717,0.7630214704044509
visible_control,40,robust_path,1,1,200,0.012490433255507884,0.7630214704044509
visible_control,40,oracle_residual,0,0,1800,0.0012290126411715694,
visible_control,40,oracle_residual,0,1,200,0.030955800223392366,
visible_control,40,oracle_residual,1,0,1800,0.01404180628689963,
visible_control,40,oracle_residual,1,1,200,0.031606829423966795,
visible_control,100,uniform,0,0,1800,0.025,1.0
visible_control,100,uniform,0,1,200,0.025,1.0
visible_control,100,uniform,1,0,1800,0.025,1.0
visible_control,100,uniform,1,1,200,0.025,1.0
visible_control,100,historical_active,0,0,1800,0.010235960671623742,0.0
visible_control,100,historical_active,0,1,200,0.050398386427039095,0.0
visible_control,100,historical_active,1,0,1800,0.034022799380395694,0.0
visible_control,100,historical_active,1,1,200,0.05127277310478614,0.0
visible_control,100,fixed_mixture,0,0,1800,0.017617980335811866,0.5
visible_control,100,fixed_mixture,0,1,200,0.03769919321351955,0.5
visible_control,100,fixed_mixture,1,0,1800,0.02951139969019784,0.5
visible_control,100,fixed_mixture,1,1,200,0.03813638655239306,0.5
visible_control,100,robust_path,0,0,1800,0.021501239456391714,0.7630214559992589
visible_control,100,robust_path,0,1,200,0.031018872635447906,0.7630214559992589
visible_control,100,robust_path,1,0,1800,0.027138209859976947,0.7630214559992589
visible_control,100,robust_path,1,1,200,0.031226083517234045,0.7630214559992589
visible_control,100,oracle_residual,0,0,1800,0.0030725316029289215,
visible_control,100,oracle_residual,0,1,200,0.07738950055848091,
visible_control,100,oracle_residual,1,0,1800,0.03510451571724908,
visible_control,100,oracle_residual,1,1,200,0.07901707355991702,
visible_control,250,uniform,0,0,1800,0.0625,1.0
visible_control,250,uniform,0,1,200,0.0625,1.0
visible_control,250,uniform,1,0,1800,0.0625,1.0
visible_control,250,uniform,1,1,200,0.0625,1.0
visible_control,250,historical_active,0,0,1800,0.025589901679059335,0.0
visible_control,250,historical_active,0,1,200,0.12599596606759764,0.0
visible_control,250,historical_active,1,0,1800,0.0850569984509892,0.0
visible_control,250,historical_active,1,1,200,0.12818193276196532,0.0
visible_control,250,fixed_mixture,0,0,1800,0.044044950839529654,0.5
visible_control,250,fixed_mixture,0,1,200,0.0942479830337988,0.5
visible_control,250,fixed_mixture,1,0,1800,0.0737784992254946,0.5
visible_control,250,fixed_mixture,1,1,200,0.09534096638098263,0.5
visible_control,250,robust_path,0,0,1800,0.05375309774643585,0.7630214317635217
visible_control,250,robust_path,0,1,200,0.07754718312749131,0.7630214317635217
visible_control,250,robust_path,1,0,1800,0.0678455251966279,0.7630214317635217
visible_control,250,robust_path,1,1,200,0.07806521038493518,0.7630214317635217
visible_control,250,oracle_residual,0,0,1800,0.007681329007322308,
visible_control,250,oracle_residual,0,1,200,0.19347375139620232,
visible_control,250,oracle_residual,1,0,1800,0.08776128929312273,
visible_control,250,oracle_residual,1,1,200,0.1975426838997926,
visible_control,600,uniform,0,0,1800,0.14999999999999997,1.0
visible_control,600,uniform,0,1,200,0.14999999999999997,1.0
visible_control,600,uniform,1,0,1800,0.14999999999999997,1.0
visible_control,600,uniform,1,1,200,0.14999999999999997,1.0
visible_control,600,historical_active,0,0,1800,0.06141576402974244,0.0
visible_control,600,historical_active,0,1,200,0.3023903185622345,0.0
visible_control,600,historical_active,1,0,1800,0.20413679628237402,0.0
visible_control,600,historical_active,1,1,200,0.3076366386287167,0.0
visible_control,600,fixed_mixture,0,0,1800,0.10570788201487119,0.5
visible_control,600,fixed_mixture,0,1,200,0.2261951592811173,0.5
visible_control,600,fixed_mixture,1,0,1800,0.17706839814118705,0.5
visible_control,600,fixed_mixture,1,1,200,0.22881831931435845,0.5
visible_control,600,robust_path,0,0,1800,0.12900743673802353,0.7630214559955701
visible_control,600,robust_path,0,1,200,0.18611323581324957,0.7630214559955701
visible_control,600,robust_path,1,0,1800,0.16282925916006144,0.7630214559955701
visible_control,600,robust_path,1,1,200,0.18735650110398575,0.7630214559955701
visible_control,600,oracle_residual,0,0,1800,0.018435189617573542,
visible_control,600,oracle_residual,0,1,200,0.46433700335088557,
visible_control,600,oracle_residual,1,0,1800,0.21062709430349444,
visible_control,600,oracle_residual,1,1,200,0.4741024413595021,
