scenario,budget,method,target,proxy_target,bias,bias_mcse,rmse,empirical_variance,exact_design_variance,mean_estimated_variance,correct_selection,selection_mcse,mean_audits,audit_sd,audit_p05,audit_p95,zero_variance_fraction,wald_coverage,wald_coverage_mcse,wald_width,wald_decisive_rate,wald_wrong_decisive_rate,bernstein_coverage,bernstein_coverage_mcse,bernstein_width,bernstein_decisive_rate,bernstein_wrong_decisive_rate
aligned,600,uniform,0.006500000000000105,0.010499999999980717,-0.0004167833333527252,0.0004137131856434516,0.013082857093243755,0.00017115859997525305,0.00017308125000000004,0.00017468931943055555,0.677,0.014787528529135624,600.509,22.540407915319303,563.0,638.05,0.0,0.959,0.006270486424512857,0.05168834782668364,0.08,0.004,1.0,0.0,0.4083671500742438,0.0,0.0
aligned,600,historical_active,0.006500000000000105,0.010499999999980717,4.0373738849405934e-05,0.0002578035320793373,0.008148486272321875,6.646266115258192e-05,6.751231195307844e-05,6.713999864294808e-05,0.781,0.013078187947877183,599.507,20.29561191151582,566.0,634.0,0.0,0.955,0.00655553201502365,0.031191076653289265,0.14,0.001,1.0,0.0,0.5198590127012459,0.0,0.0
aligned,600,fixed_mixture,0.006500000000000105,0.010499999999980717,-5.169760448491944e-05,0.0002931935156978091,0.009267100293614161,8.596243764724142e-05,8.23032664874489e-05,8.310630988204052e-05,0.738,0.013905250806799567,600.303,21.793350847016185,565.0,638.0,0.0,0.942,0.007391616873188169,0.03541851618873276,0.113,0.003,1.0,0.0,0.45078475878859336,0.0,0.0
aligned,600,robust_path,0.006500000000000105,0.010499999999980717,-0.00012643697080228292,0.0003614036470152804,0.011423570798461184,0.00013061259607594536,0.00012988858749425102,0.00013089711594624253,0.7,0.014491376746189439,600.512,22.36049748659112,566.0,637.0,0.0,0.953,0.00669260786241059,0.044713952111566764,0.078,0.002,1.0,0.0,0.4167750644926457,0.0,0.0
aligned,600,oracle_residual,0.006500000000000105,0.010499999999980717,-2.23209943375699e-05,3.2194939372202465e-05,0.0010178289806479428,1.0365141211797923e-06,9.64065376420457e-07,9.62715285175623e-07,1.0,0.0,599.76,13.259721724840995,577.0,622.0,0.0,0.939,0.007568289106528638,0.0038434156871732716,1.0,0.0,1.0,0.0,0.828871353256373,0.0,0.0
silent_mild,40,uniform,-0.014999999999999902,0.010499999999980717,0.0005524999999806188,0.0020653723651576144,0.06528248233638162,0.004265763006756757,0.0040774387500000005,0.00409383030375,0.576,0.015627667772255716,40.25,6.202416462151664,30.0,51.0,0.0,0.924,0.008379976133617564,0.23901581504713157,0.05,0.028,1.0,0.0,1.8691816544999722,0.0,0.0
silent_mild,40,historical_active,-0.014999999999999902,0.010499999999980717,-0.000862816664272098,0.0018688610037203867,0.05907531855497429,0.003492641451226771,0.0033297444121830194,0.003492359638763193,0.576,0.015627667772255716,39.929,6.234968631343212,30.0,50.0,0.0,0.911,0.009004387819280108,0.18973367929241897,0.036,0.025,1.0,0.0,1.9998585972284493,0.0,0.0
silent_mild,40,fixed_mixture,-0.014999999999999902,0.010499999999980717,-0.0009355625169819477,0.001779475237734803,0.05625158546043662,0.0031665321217113334,0.0030158501337132393,0.0031164370323803086,0.604,0.01546557467409472,40.161,6.222362637840774,30.0,51.0,0.0,0.932,0.00796090447122687,0.19763111466477146,0.032,0.022,1.0,0.0,1.9851183016594929,0.0,0.0
silent_mild,40,robust_path,-0.014999999999999902,0.010499999999980717,0.0003239798110714655,0.0019098331618147375,0.060364892165722384,0.0036474627059672766,0.003493080913448935,0.0035356833193476876,0.568,0.01566448211719749,40.303,6.183156347887576,30.0,51.0,0.0,0.934,0.007851369307324675,0.22070326730414988,0.046,0.027,1.0,0.0,1.904849849978042,0.0,0.0
silent_mild,40,oracle_residual,-0.014999999999999902,0.010499999999980717,0.0009866849999806224,0.0007109678383393497,0.022493184282687984,0.0005054752671529277,0.00048154275000000004,0.0004797109518749999,0.76,0.013505554412907307,39.843,6.178391661551048,30.0,50.0,0.0,0.944,0.007270763371201131,0.08559384934989371,0.11,0.006,1.0,0.0,2.0,0.0,0.0
