eta,calibration_per_class,field_n,cohort,method,true_contrast,structural_width,nominal_minimum_coverage,replicates,feasible_count,feasible_rate,feasible_mcse,covered_count,covered_rate,covered_mcse,resolved_count,resolved_rate,resolved_mcse,wrong_resolution_count,wrong_resolution_rate,wrong_resolution_mcse,covered_mc_ci_lower,covered_mc_ci_upper,wrong_resolution_mc_ci_lower,wrong_resolution_mc_ci_upper,infeasible_count,width_feasible_n,width_p10,width_median,width_p90,max_constraint_residual
0.3,160,320,negative,calibration_only,-0.017,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.056401128568696966,0.06419553053600535,0.0711539206834957,8.881784197001252e-16
0.3,160,320,negative,joint,-0.017,0.0,0.96,200,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.07506069250586102,0.08668042746458905,0.09750371023460568,9.992007221626409e-16
0.3,160,320,near,field_only,0.015399999999999995,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,6,0.03,0.012062338081814818,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.05426459772616554,0.057866477372504714,0.06051755724274139,3.3306690738754696e-16
0.3,160,320,near,calibration_only,0.015399999999999995,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.07259026565424509,0.08090737455843072,0.09002233690538401,6.938893903907228e-16
0.3,160,320,near,joint,0.015399999999999995,0.0,0.96,200,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.09229214591339302,0.09740532931786972,0.1,9.992007221626409e-16
0.3,640,1280,positive,field_only,0.033,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.028869534076090136,0.030570413231430445,0.03176620600556515,3.3306690738754696e-16
0.3,640,1280,positive,calibration_only,0.033,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.041279683832740145,0.043635515179169686,0.04612932995188396,6.661338147750939e-16
0.3,640,1280,positive,joint,0.033,0.0,0.96,200,200,1.0,0.0,200,1.0,0.0,66,0.33,0.0332490601370926,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.05550509825797597,0.06090313319961238,0.06468614718414092,5.551115123125783e-16
0.3,640,1280,negative,field_only,-0.017,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,142,0.71,0.03208582241426889,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.028274703130129395,0.029911552500048434,0.031099663490180913,2.220446049250313e-16
0.3,640,1280,negative,calibration_only,-0.017,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,8,0.04,0.013856406460551017,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.038861836213060115,0.0415650570583011,0.04453889130683747,6.661338147750939e-16
0.3,640,1280,negative,joint,-0.017,0.0,0.96,200,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.05109604548596338,0.05654635072604543,0.06169384238426617,4.440892098500626e-16
0.3,640,1280,near,field_only,0.015399999999999995,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,82,0.41,0.0347778665245584,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.031081635100848326,0.03186357269821943,0.03198489699760302,3.3306690738754696e-16
0.3,640,1280,near,calibration_only,0.015399999999999995,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.04426630771688481,0.04817259771485513,0.0527343652592094,6.661338147750939e-16
0.3,640,1280,near,joint,0.015399999999999995,0.0,0.96,200,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.06635281774357267,0.07106532129545808,0.07588969081713165,5.551115123125783e-16
0.3,2560,5120,positive,field_only,0.033,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.015791020751899233,0.01585978384127385,0.015931994829774872,3.3306690738754696e-16
0.3,2560,5120,positive,calibration_only,0.033,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.023183714034617192,0.024346702184752666,0.02534448894413586,5.551115123125783e-16
0.3,2560,5120,positive,joint,0.033,0.0,0.96,200,200,1.0,0.0,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.03617734476211056,0.03776105218799598,0.03901153762683423,3.3306690738754696e-16
0.3,2560,5120,negative,field_only,-0.017,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.01542902571110136,0.015504221239681548,0.015591298369245827,2.220446049250313e-16
0.3,2560,5120,negative,calibration_only,-0.017,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,199,0.995,0.004987484335815003,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.02266950538759291,0.023793529295928907,0.025042381501210024,4.440892098500626e-16
0.3,2560,5120,negative,joint,-0.017,0.0,0.96,200,200,1.0,0.0,200,1.0,0.0,28,0.14,0.024535688292770596,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.0352955499322353,0.036882615605697194,0.039116562714157546,4.440892098500626e-16
0.3,2560,5120,near,field_only,0.015399999999999995,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.01596488616690412,0.016020499531906596,0.016056230550952823,2.220446049250313e-16
0.3,2560,5120,near,calibration_only,0.015399999999999995,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,199,0.995,0.004987484335815003,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.023023312335949713,0.024135610092763788,0.02541147242134335,4.440892098500626e-16
0.3,2560,5120,near,joint,0.015399999999999995,0.0,0.96,200,200,1.0,0.0,200,1.0,0.0,2,0.01,0.007035623639735145,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.03800017445832689,0.039865495885632075,0.042042950254833934,4.440892098500626e-16
1,40,80,positive,field_only,0.033,0.0,0.98,200,200,1.0,0.0,199,0.995,0.004987484335815003,198,0.99,0.007035623639735147,0,0.0,0.0,0.9724581015427943,0.999873418972133,0.0,0.01827534035513624,0,200,0.02971909712550962,0.03234010139177043,0.03417499936056407,2.220446049250313e-16
1,40,80,positive,calibration_only,0.033,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.019811617115137327,0.019811617115137327,0.019811617115137327,3.3306690738754696e-16
1,40,80,positive,joint,0.033,0.0,0.96,200,200,1.0,0.0,200,1.0,0.0,162,0.81,0.02773986301336039,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.04688037169939738,0.052564303712455906,0.057128954608452,2.220446049250313e-16
1,40,80,negative,field_only,-0.017,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,80,0.4,0.034641016151377546,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.028316988277935825,0.03085960098686344,0.03282821058828698,2.220446049250313e-16
1,40,80,negative,calibration_only,-0.017,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.01936827385059111,0.01936827385059111,0.01936827385059111,9.71445146547012e-17
1,40,80,negative,joint,-0.017,0.0,0.96,200,200,1.0,0.0,200,1.0,0.0,8,0.04,0.013856406460551017,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.042523512337404444,0.04845124431334517,0.054082215448246734,7.771561172376096e-16
1,40,80,near,field_only,0.015399999999999995,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,43,0.215,0.029049526674285075,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.035731365673661114,0.03642677831921974,0.03675430001777954,2.220446049250313e-16
1,40,80,near,calibration_only,0.015399999999999995,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.02025496037968352,0.02025496037968352,0.02025496037968352,2.498001805406602e-16
1,40,80,near,joint,0.015399999999999995,0.0,0.96,200,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.060611783030942626,0.06330599046233272,0.06437096412569282,3.3306690738754696e-16
1,160,320,positive,field_only,0.033,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.0160512961321769,0.016682272857703614,0.01725799002724382,2.220446049250313e-16
1,160,320,positive,calibration_only,0.033,0.0,0.98,200,200,1.0,0.0,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.0047190635521709295,0.0047190635521709295,0.0047190635521709295,1.1102230246251565e-16
1,160,320,positive,joint,0.033,0.0,0.96,200,200,1.0,0.0,200,1.0,0.0,200,1.0,0.0,0,0.0,0.0,0.9817246596448638,1.0,0.0,0.01827534035513624,0,200,0.021527830549772406,0.022188583467976142,0.022791469096627718,1.6653345369377348e-15
